,Winners,Losers
212,michael davidson,alex cruz
213,peter kica,josh allen
214,jake gearhart,aneil saini
215,dean nezam,corey dancause
216,travis beckwith,steve zhang
217,orlando karam,hector ibarra
218,[static 2] michele lesage,nick flores
219,justin brothers,connor chiappetta
220,arjun khadse,zach elliott
221,regan retzloff,drew allen
222,tyler unruh,devin hofknecht
223,john wanggaard,peyton bauermeister
224,casey katsouris,jacob smith
225,andrew antony,alex smetana
226,olive battaglia,hunter butler
227,brendan cevasco,dre alderette
228,jonathan herrera,john melissari iii
229,juan escalera,nathan ginsburg
230,bryan mcdaniel,brendan gleason
231,alex hill,sackett brehmer
232,jon eng,nairobi gammage
233,solomon shurge,allan xu
234,omar taha,axel alvarez
235,andrew wu,gabriel smart
236,james hart,andrew martin
237,jack wong,tienthomas pham
238,joshua everly,michael morton
239,caleb gedemer,kenneth mauder
240,phillip lineberry,pablo marquez
241,anthony salomone,daniel rao
242,jac carter,dj alleyne
243,marcus gil,michael bergerac
244,tyler mathews,darin o'meara
245,harrison frazier,liam conant
246,jerry han,hector fuentes
247,anthony bruno,charles platel
248,steven hollingsworth,ryan ginsburg
249,ming weng,mikela gassert
250,alexander engquist,tyler perry
251,mike hines,matt bacnis
252,nathon trimberger,ely greenfeld
253,grafton roll,andrew padron
254,michael laundrie,jackson horn
255,jeff opp,anthony zheng
256,jack bray,nathan maizels
257,alexander vences,matthew holland
258,dean legge,ryan mooney
259,gabriel cruz,melanie stamm
260,colin calvert,lucas richardson
261,carlos medina astete,bryan lindley
262,tiger hickman,andre maldonado
263,matthew brown,james washer
264,jerrick gumila,russell monteiro
265,dillon courtney,raymond long
266,jordi paredes,julio santos de leon
267,jacob stillwell,dylan lefavour
268,austin sherman,aidan khus
269,luke morsa,meng-yu wang
270,daniel fappiano,jay cristiano
271,aaron rozbicki,joe turrentine
272,greg kerien,vaughn swae
273,david zheng,conner hurst
274,grant shen,jason burch
275,michael pramawat,makani tran
276,parker lish,jose marzan
277,felipe luna,gustavo wada
278,vincent owen,ryan miller
279,phi nguyen,zach robinson
280,michael davidson,orlando karam
281,justin brothers,adam kalamat
282,riyad mechel,brian garcia
283,travis beckwith,graham kovach
284,samuel liggett,james gillespie
285,peter kica,matthew padget
286,dean nezam,justin doney
287,tyron li,neo erlandsson
288,olive battaglia,anthony salomone
289,ryan sabelhaus,tyler unruh
290,caleb gedemer,azul garcia griego
291,regan retzloff,brandon salazar
292,jon eng,eric smith
293,bryan mcdaniel,casey katsouris
294,blake eure,alex hill
295,omar taha,john wanggaard
296,jonathan herrera,joshua everly
297,andrew wu,edwin cohetero
298,ihana mazezka,andrew kennett
299,james hart,andrew antony
300,brendan cevasco,ryan tongue
301,rafal gladysz,jack wong
302,solomon shurge,arjun khadse
303,phillip lineberry,nathan stratford
304,benjamin mceachen,daniel abramovici
305,vincent d'arcy,harrison frazier
306,prin basser,david hendrickson
307,jake pilch,christian chase
308,jac carter,case bennink
309,tyler mathews,robert weidman
310,gabe shumway,juan escalera
311,corey dancause,hector ibarra
312,zach laska,alexander engquist
313,anthony bruno,hal johnston
314,sawyer melban,grafton roll
315,maxwell johnson,michael zele
316,victor garcía,steven hollingsworth
317,aneil saini,nathan ginsburg
318,velen ricci,richard stackhouse
319,steve zhang,ming weng
320,henry chao,alex cruz
321,jerry han,nathon trimberger
322,connor chiappetta,mike hines
323,gabriel cruz,josh allen
324,axel alvarez,matthew brown
325,jack bray,peyton bauermeister
326,tienthomas pham,john melissari iii
327,carlos medina astete,jeff opp
328,josh chevigny,tiger hickman
329,alexander vences,nairobi gammage
330,andrew martin,kenneth mauder
331,drew allen,dean legge
332,sackett brehmer,pablo marquez
333,jacob smith,allan xu
334,zach elliott,elliot miller
335,michael morton,jeremy gumila
336,brendan gleason,nicholas hughes
337,aaron west,dan hugar
338,gabriel smart,daniel rao
339,michael laundrie,hunter butler
340,michael zheng,dj alleyne
341,michael bergerac,elizabeth willet
342,tyler perry,liam conant
343,ryan ginsburg,andrew padron
344,charles platel,[static 1] david luo
345,evelyn estridge,hector fuentes
346,zachary lazaroff,matt bacnis
347,mikela gassert,ely greenfeld
348,melanie stamm,nathan maizels
349,andre maldonado,lucas richardson
350,james washer,ryan mooney
351,michael meal,ryan miller
352,david zheng,nathan brower
353,riyad mechel,jerrick gumila
354,travis beckwith,tyron li
355,dillon courtney,michael davidson
356,peter kica,andres david torres
357,phi nguyen,nicholas moffitt
358,jonathan valenzuela,samuel liggett
359,phillip lineberry,ryan sabelhaus
360,rafal gladysz,jon eng
361,[vip] luis sanabria,blake eure
362,aaron rozbicki,daniel fappiano
363,solomon shurge,regan retzloff
364,bryan mcdaniel,jacob stillwell
365,jordi paredes,james hart
366,austin sherman,greg kerien
367,caleb gedemer,omar taha
368,olive battaglia,luke morsa
369,vincent owen,brendan cevasco
370,brooke fail,parker lish
371,mike fouchet,jac carter
372,felipe luna,[static 2] michele lesage
373,benjamin mceachen,vincent d'arcy
374,grant shen,tyler mathews
375,henry chao,brian garcia
376,sawyer melban,lucas thiele
377,justin doney,corey dancause
378,james gillespie,andrew wu
379,anthony bruno,connor chiappetta
380,orlando karam,edwin cohetero
381,zach laska,aneil saini
382,maxwell johnson,matthew padget
383,ryan antonucci,neo erlandsson
384,steve zhang,velen ricci
385,jerry han,graham kovach
386,zach robinson,adam kalamat
387,ryan tongue,victor garcía
388,sackett brehmer,joshua everly
389,andrew antony,john wanggaard
390,chris diller,drew allen
391,axel alvarez,morgan abreu
392,jack wong,brendan gleason
393,jack bray,marcus gil
394,tienthomas pham,josh chevigny
395,brandon salazar,christian labella
396,gabriel cruz,casey katsouris
397,michael laundrie,alex smetana
398,anthony salomone,andrew kennett
399,carlos medina astete,andrew martin
400,michael morton,evan campbell
401,aaron west,eric smith
402,arjun khadse,alex hill
403,gabriel smart,azul garcia griego
404,tyler unruh,michael bergerac
405,david hendrickson,robert weidman
406,michael zheng,christian chase
407,miguel hernandez,nathan stratford
408,richard mccombs,harrison frazier
409,case bennink,rick wilt
410,daniel abramovici,sebastian ardila
411,ryan ginsburg,charles platel
412,mike hines,nick flores
413,mikela gassert,richard stackhouse
414,alex cruz,juan escalera
415,jacob smith,josh allen
416,grafton roll,ming weng
417,alexander engquist,evelyn estridge
418,colin calvert,elliot miller
419,melanie stamm,peyton bauermeister
420,nairobi gammage,hunter butler
421,kenneth mauder,andre maldonado
422,dean legge,tiger hickman
423,jeff opp,nicholas hughes
424,daniel rao,matt bacnis
425,zachary lazaroff,elizabeth willet
426,dj alleyne,andrew padron
427,liam conant,anthony zheng
428,[static 1] david luo,jackson horn
429,stephen hunter,jon eng
430,andrew mahone,grant hays
431,conner hurst,alex krekeler
432,felipe luna,david zheng
433,justin brothers,michael meal
434,mike fouchet,maxwell johnson
435,orlando karam,ryan antonucci
436,jonathan valenzuela,zach laska
437,jerry han,dillon courtney
438,anthony bruno,riyad mechel
439,zach robinson,steve zhang
440,justin doney,travis beckwith
441,peter kica,james gillespie
442,phi nguyen,henry chao
443,solomon shurge,olive battaglia
444,gabriel cruz,rafal gladysz
445,chris diller,michael morton
446,ryan tongue,caleb gedemer
447,jonathan herrera,[vip] luis sanabria
448,ihana mazezka,andrew antony
449,axel alvarez,aaron rozbicki
450,benjamin mceachen,aaron west
451,jack wong,carlos medina astete
452,vincent d'arcy,gabriel smart
453,phillip lineberry,sackett brehmer
454,bryan mcdaniel,michael laundrie
455,david hendrickson,brandon baughn
456,[static 2] michele lesage,vincent owen
457,sawyer melban,daniel abramovici
458,jac carter,miguel hernandez
459,brooke fail,lucas thiele
460,michael pramawat,grant shen
461,edwin cohetero,michael zheng
462,neo erlandsson,connor chiappetta
463,mike hines,corey dancause
464,grafton roll,tyler unruh
465,andrew wu,matthew padget
466,aneil saini,alex cruz
467,ryan ginsburg,victor garcía
468,alexander engquist,alexander vences
469,jacob smith,graham kovach
470,zach elliott,velen ricci
471,nathan ginsburg,michael bergerac
472,andrew martin,casey katsouris
473,drew allen,marcus gil
474,joshua everly,nairobi gammage
475,dan hugar,eric smith
476,john wanggaard,kenneth mauder
477,andrew kennett,evan campbell
478,brendan gleason,colin calvert
479,christian labella,azul garcia griego
480,alex hill,richard mccombs
481,rick wilt,nathon trimberger
482,dj alleyne,zachary lazaroff
483,robert weidman,sebastian ardila
484,nathan stratford,matt bacnis
485,tyler perry,juan escalera
486,ming weng,nick flores
487,hal johnston,evelyn estridge
488,liam conant,charles platel
489,[static 1] david luo,josh allen
490,andre maldonado,nicholas hughes
491,nathan maizels,hunter butler
492,elizabeth willet,anthony zheng
