,Winners,Losers
94,chad ross,brandon baughn
95,hale obernolte,brian myers
96,manuel soto,tyler herrmann
97,joe turrentine,mitchel silva
98,evan jensen,michael natto
99,jim her,peter demartino
100,matthew stratford,chris stotts
101,andrew scott,ryan mefford
102,sean pluto,emmet hurley
103,james simms,anthony zheng
104,isaiah bradner,rain keuma
105,franxl zaragoza,charlie kerr
106,aaron santos,nick morin
107,scarlet harris,nicolas galli
108,wyatt ralston,kolton munson
109,cole rosario,jonathyn kramer
110,nick sheffer,gabriel tinio
111,eric ridgeway,christian galvan
112,tyler mccutchan,daiki kumasegawa
113,devin gude,harrison dollar
114,daniel dempster,philip nguyen
115,alex mcneill,tanner mason
116,johnson li,chris brewer
117,justin tse,makani tran
118,andy zhang,sam hough
119,terrence miller,tyler mathews
120,azul garcia griego,paul abarca
121,bodhi robinson,connor pedersen
122,jared grimes,maddox corcoran
123,hector ibarra,harrison frazier
124,michael davidson,josh fernando
125,vance kelley,elliot gantner
126,ross cawthon,justin teng
127,mario martinez,derek hu
128,grant manley,dylan smeigh
129,keaton gill,travis beckwith
130,calvin connor,xavier clark
131,jordan dumlao,daniel evans
132,joseph rodriguez,nicolas gist
133,riley hulbert,leandro cortez
134,[76] atomos billings,raymond liu
135,ian robb,jmz musser
136,brandon salazar,tanner drabek
137,joey gaffney,kevin clemente
138,hasan kunukcu,stephen lowe
139,erik arts,dominic viola
140,joe turrentine,michael meal
141,jim her,velen ricci
142,bradley sumoge,trenton staley
143,james simms,chad ross
144,braiden elfert,danny prather
145,lucas thiele,ethan yi
146,nick sheffer,bennie pell
147,jonathan ramirez,german herrera
148,jose villarreal,blake zeller
149,johnson li,aaron santos
150,joshua sanstrum,john mostowy
151,daniel dempster,alex green
152,david gade,sean burns
153,tyler mccutchan,nic stewart
154,joaquín rico,eric ridgeway
155,franxl zaragoza,isaiah bradner
156,joseph chigbrow,scarlet harris
157,cole rosario,avery phimmasehn
158,ray chen,tony vuong
159,trenton fuller,hunter slack
160,alex mcneill,devin gude
161,austin drake,matthew connors
162,michael diaz,grant shen
163,jack saunders,caitlin white
164,brandon baughn,devin ardissono
165,benjamin chang,joseph sanchez
166,mitchel silva,gibson archer-tang
167,peter demartino,christopher osborn
168,bradley ireland,brian myers
169,ryan mefford,tyler herrmann
170,michael natto,anthony zheng
171,emmet hurley,jac carter
172,nicolas galli,rain keuma
173,chris brewer,tanner mason
174,kolton munson,gabriel tinio
175,christian galvan,jonathyn kramer
176,charlie kerr,daiki kumasegawa
177,jared grimes,azul garcia griego
178,joseph rodriguez,yosha riley
179,mario martinez,justin tse
180,riley hulbert,keaton gill
181,michael davidson,calvin connor
182,ross cawthon,jordan dumlao
183,grant manley,vance kelley
184,rowan stavenow,paul abarca
185,hasan kunukcu,ian robb
186,brandon salazar,terrence miller
187,maddox corcoran,joe turrentine
188,jim her,james simms
189,simon copenhaver,harrison frazier
190,erik arts,arjun khadse
191,nicolas gist,elliot gantner
192,derek hu,trenton fuller
193,daniel dempster,ray chen
194,lucas xing,joshua sanstrum
195,justin teng,joaquín rico
196,joseph chigbrow,joey gaffney
197,lucas thiele,austin drake
198,xavier clark,nick sheffer
199,tyler mccutchan,travis beckwith
200,josh fernando,braiden elfert
201,daniel evans,alex mcneill
202,leandro cortez,mauricio martinez
203,raymond liu,andrew scott
204,tanner drabek,neil kimball
205,jack saunders,iyla sutherland
206,hale obernolte,matthew stratford
207,stephen lowe,alex kim
208,velen ricci,trenton staley
209,michael meal,peter demartino
210,mitchel silva,brandon baughn
211,kolton munson,jonathan ramirez
212,isaiah bradner,tony vuong
213,christian galvan,harrison dollar
214,devin gude,blake zeller
215,chris brewer,avery phimmasehn
216,bennie pell,eric ridgeway
217,aaron santos,nicolas galli
218,john mostowy,ethan yi
219,philip nguyen,hunter slack
220,ben dobberstein,chris stotts
221,pedro estrada,matthew connors
222,joseph sanchez,grant shen
223,gibson archer-tang,anthony zheng
224,devin ardissono,christopher osborn
225,nick morin,gabriel tinio
226,rain keuma,daiki kumasegawa
227,rowan stavenow,terrence miller
228,connor pedersen,stefan tabaco
229,jim her,maddox corcoran
230,simon copenhaver,jared grimes
231,daniel evans,kevin clemente
232,lucas xing,ross cawthon
233,lucas thiele,grant manley
234,joseph rodriguez,josh fernando
235,joseph chigbrow,mario martinez
236,daniel dempster,justin teng
237,andy zhang,nicolas gist
238,michael davidson,riley hulbert
239,erik arts,tyler mccutchan
240,leandro cortez,raymond liu
241,hale obernolte,brandon salazar
242,michael diaz,arjun khadse
243,beau fleetwood,hasan kunukcu
244,bradley sumoge,paul abarca
245,tanner drabek,eric brooks
246,joe turrentine,velen ricci
247,dylan smeigh,mitchel silva
248,james simms,johnson li
249,joaquín rico,cole rosario
250,joey gaffney,elliot gantner
251,john mostowy,braiden elfert
252,david gade,joshua sanstrum
253,ray chen,trenton fuller
254,austin drake,evan jensen
255,bennie pell,kolton munson
256,isaiah bradner,alex mcneill
257,chris brewer,sean pluto
258,ryan mefford,matthew stratford
259,emmet hurley,andrew scott
260,wyatt ralston,neil kimball
261,ben dobberstein,alex kim
262,benjamin chang,iyla sutherland
263,scarlet harris,chad ross
264,sean burns,trenton staley
265,brandon baughn,alex green
266,devin ardissono,le bui
267,charlie kerr,peter demartino
268,jonathan ramirez,blake zeller
269,devin gude,christian galvan
270,joseph sanchez,harrison dollar
271,gibson archer-tang,tyler herrmann
272,ethan yi,eric ridgeway
273,avery phimmasehn,nick morin
274,nicolas galli,tony vuong
275,brian myers,chris stotts
276,matthew connors,grant shen
277,anthony zheng,jac carter
278,caitlin white,tanner mason
279,stephen lowe,hale obernolte
280,beau fleetwood,raymond liu
281,michael diaz,manuel soto
282,rowan stavenow,connor pedersen
283,daniel evans,xavier clark
284,joe turrentine,simon copenhaver
285,kevin clemente,james simms
286,derek hu,jim her
287,dylan smeigh,david gade
288,bennie pell,lucas thiele
289,joey gaffney,michael davidson
290,joseph chigbrow,lucas xing
291,ray chen,isaiah bradner
292,andy zhang,joaquín rico
293,john mostowy,joseph rodriguez
294,emmet hurley,dominic viola
295,paul abarca,harrison frazier
296,ryan mefford,gerald chavez
297,leandro cortez,german herrera
298,eric brooks,hasan kunukcu
299,michael meal,erik arts
300,[76] atomos billings,arjun khadse
301,wyatt ralston,jose villarreal
302,franxl zaragoza,ben dobberstein
303,jack saunders,benjamin chang
304,michael natto,brandon salazar
305,mitchel silva,scarlet harris
306,velen ricci,gibson archer-tang
307,sean burns,evan jensen
308,devin gude,brandon baughn
309,joshua sanstrum,ethan yi
310,nicolas galli,pedro estrada
311,elliot gantner,nick sheffer
312,avery phimmasehn,trenton fuller
313,cole rosario,kolton munson
314,alex mcneill,danny prather
315,bradley ireland,alex kim
316,brian myers,matthew connors
317,jmz musser,andrew scott
318,matthew rhee,blake zeller
319,jonathan ramirez,joseph sanchez
320,iyla sutherland,neil kimball
321,matthew stratford,harrison dollar
322,trenton staley,christopher osborn
323,alex green,caitlin white
324,chad ross,peter demartino
325,le bui,tony vuong
326,rain keuma,gabriel tinio
327,eric ridgeway,nick morin
328,chris stotts,grant shen
